Name,link,Types of Speaking,Working In,Job Title,Country,Industry,Social Media Links,About
Pablo Isla Alvarez de Tejera,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjE4MDY1MjM=?openConnection=true,Key Business Leaders,Other,"Advisor
Chairman
Director",Spain,"Education
Food Industry
Investment Solution
Other",[],"Pablo Isla (Madrid, 1964), graduate in Law of the Complutense University of Madrid and State Lawyer ranked number one in his class, held the position of Director of Legal Services at Banco Popular from 1992 to 1996, when he was appointed General Director of State Assets in the Finance Ministry. In 1998 he returned to Banco Popular Español as General Secretary and in 2000 he became Co-Chairman and Co-CEO of the Altadis Group.
In 2005, Pablo Isla joined the Inditex Group as CEO, and in 2011 he became Chairman and CEO of the company until March 2022. During this period, Inditex became a world leader in its sector and a benchmark in digital integration and sustainability.
Pablo Isla is also member of the Board of Directors of Nestlé, Global Senior Advisor at General Atlantic and Chairman of the International Advisory Board of IE University, and a member of the Board of Trustees of the Museo del Prado, Madrid´s Teatro Real, La Caixa Foundation, among others.
Harvard Business Review has named him in 2017 and 2018 as the best CEO in the world."
Pau Gasol,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjA3MDQ2OTE=?openConnection=true,Key Business Leaders,Other,Founder,Spain,"Healthcare
Wellness",[],"Pau Gasol is president of the Gasol Foundation, member of the Athletes’ Commission of the IOC, and investor and advisor to projects having to do with sports and wellbeing.

He began his sporting career in the basketball division of the Barcelona Football Club. In 2001, with the Memphis Grizzlies, he became only the second Spaniard to play in the NBA and the first to win its Rookie of the Year award. He was twice an NBA champion, six times an All-Star. With the Spanish national team, Pau helped win a world championship and was a three-time Olympic medallist. Pau has become a point of reference for many European players who want to compete in the world’s best basketball league. 

Off the court, Pau has shown his social commitment to children and health through his role as UNICEF Global Champion for Nutrition and Zero Obesity, as well as by creating the Gasol Foundation with his brother Marc. This work has won him awards like the Princess of Asturia Prize for Sports and the NAOS Strategy Award of Special Recognition."
Sergio Furio,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTkxNTM0MzE=?openConnection=true,Key Business Leaders,Startup,"CEO
Founder",Brazil,Fintech,[],"Sergio Furio is the Founder & CEO of Creditas, the leading fintech platform operating in Latam across 3 ecosystems: Home, Auto and Employee Benefits. With 4,000 employees, Creditas is one of the top tech companies in Latam and a reference in innovation and talent management. Total funding has reached US$825 million and backers include Softbank, Kaszek, Fidelity, Advent, Wellington, Lightrock, Redpoint eVentures, VEF, QED Investors, Headline, IFC, Quona Capital, Mouro Capital (Santander) among others. Using the customer properties, Creditas reduces the high interest rates paid by the latin american population. Before founding Creditas in 2012, Sergio was an executive at The Boston Consulting Group and Deutsche Bank’s investment bank."
Christian Nagel,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTk3MzQ4MDc=?openConnection=true,Key Business Leaders,Other,CoFounder,Germany,"Aerospace and Aeronautics
Blockchain
Energy Efficiency
Fintech
Food Industry
Green and Clean Tech Solutions
Other",['https://www.linkedin.com/in/chnagel'],"Dr. Christian Nagel, Co-Founder and Partner at Earlybird, is based in the Berlin office and focuses on FinTech – especially on companies making use of blockchain, AI-technologies and data analytics.

Christian has over 25 years of entrepreneurial and investment experience. He was Chairman of the Board at Tipp24 AG and Interhyp AG, both of which he led to IPO, returning at large scale. Currently Christian serves on the boards of CrossEngage, Fraugster, Freeverse, Obligate, Getsafe, N26, Ottonova, Shapeshift, Sikoia and Smava.

Previously, Christian worked as an Engagement Manager with McKinsey & Co. Inc. focusing on restructuring, strategy and M&A projects within various industries."
Jenny Fielding,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTgyODc2NDA=?openConnection=true,Key Business Leaders,Investor,CEO,United States of America,"Artificial Intelligence
Fintech
Healthcare","['https://x.com/jefielding', 'https://www.linkedin.com/in/jennyfielding/']","Co-founder and Managing Partner of Everywhere Ventures, one of the most active pre-seed funds in the world with 300 portfolio companies."
John Elkington,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTc5MjczMzA=?openConnection=true,Key Business Leaders,Other,Founder,United Kingdom,Green and Clean Tech Solutions,"['https://x.com/volansjohn', 'https://www.linkedin.com/in/john-elkington-2907568']","""John Elkington, Founder & Chief Pollinator at Volans, is one of the founders of the global sustainability movement, an experienced advisor to business, and a highly regarded keynote speaker and contributor, from conferences to boards and advisory boards.
John tackles some of the world's most challenging problems, helping key actors move from the responsibility agenda through resilience to regeneration. In 2021, John won the World Sustainability Award."""
Fazia Pusterla,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzMzA3MjU=?openConnection=true,Speakers,Institution,Head,Spain,Banking,[],"Fazia Pusterla was appointed in September 2021 as Representative for the Office in Europe of the Inter-American Development Bank (IDB) Group based in Madrid, Spain.
Since 2019, she worked as strategic advisor and Public-Private coordinator in the Southern Cone Country Department, based in Buenos Aires. Previously, she worked as deputy director of the Office in Europe, in Madrid and in several positions in Washington D.C. 
Before joining the IDB Group, she was a research fellow for the Office of Production, Productivity and Management at the United Nation’s Economic Commission for Latin America and the Caribbean in Santiago, Chile and a research and teaching fellow at Bocconi University in Milan, Italy.
Ms. Pusterla is an Italian citizen and holds a Ph.D. in International Economics and Law from Bocconi University, as well a Master´s of Science in Economics from Pompeu Fabra University."
Angel Niño,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzMjU0MjE=?openConnection=true,Speakers,Government,CEO,Spain,Government and Regulation,"['https://x.com/angelninoq', 'https://instagram.com/angelninoq']","Ángel Niño es Ingeniero técnico en Informática de gestión y licenciado en Administración y Dirección de Empresas por la Universidad Carlos III de Madrid. Máster en Bussiness Intelligence y Big Bata por el MBIT School.

Inició su carrera profesional como consultor informático y de estrategia empresarial. En 2010 dio el salto al ecosistema de emprendimiento como director de diferentes empresas.

Su especialización multidisciplinar en nuevas tecnologías le ha llevado a impartir formación en Blockchain y criptomonedas.

Desde 2019 es concejal presidente de Ciudad Lineal, presidente del Consejo de Administración de Mercamadrid y Delegado del Área de Emprendimiento e Innovación del Ayuntamiento de Madrid.

Colabora habitualmente en programas de televisión y radio como Radio Intereconomía, Futura, 
Horizonte o Cuarto Milenio, y escribe artículos en medios digitales de temática económica y nacional."
Javier De Juan,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyNTE5ODg=?openConnection=true,Speakers,Corporation,Director,Spain,"Accomodation and Hospitality
Banking
Fintech
Payments
Service Provider
Software Development
Telecom and IT Services
Tourism
Transportation
Travel",[],Corporate Development and Strategy for Tech and Travel Industries
Jose Maria Pestaña Sartorius,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyNTE3ODA=?openConnection=true,Speakers,Corporation,"C-Level
Director",Spain,Travel,[],"Chief Innovation Officer & High Performance Organisation Director: Extensive experience in transformational processes in the digital environment and in business integrations, with a strong track record in designing high performing organisations and innovation ecosystems having held senior roles in companies including Telefónica, Sanofi, Dun &Bradstreet and UPS. José María also has wide international experience gained in a variety of multicultural environments and he has led corporate and local teams in Africa, Middle East, Latin America and Europe."
